1k	10k	100k	500k	1M
123	182	130	357	554
37	94	222	265	370
104	143	133	188	292
157	91	181	240	329
78	129	129	268	292
142	78	164	213	343
90	127	99	259	238
138	175	162	213	319
77	114	97	255	466
126	158	147	193	309
178	101	96	242	367
111	152	132	175	312
163	100	182	238	365
111	124	127	180	301
151	88	174	221	349
99	122	116	256	292
144	86	161	220	334
91	124	115	259	388
133	73	157	211	330
77	122	110	250	367
130	172	150	171	307
169	112	197	250	360
117	155	137	192	303
166	100	186	235	347
104	147	119	273	295
152	98	170	213	352
90	145	123	273	291
139	86	167	211	330
90	136	107	252	285
139	83	155	211	319
75	116	100	258	380
127	165	144	193	328
64	117	190	239	366
115	168	135	191	291
61	100	191	231	365
114	152	128	274	287
153	91	172	211	350
94	138	117	265	295
145	65	170	209	351
84	127	113	258	284
133	170	162	201	346
81	118	100	243	374
117	163	149	185	310
67	101	103	240	370
114	149	133	179	292
162	98	193	241	372
100	146	135	286	302
132	81	172	209	339
99	130	123	255	287
